,algo,net,n_rounds,K,C,dataset,iid,sha_client,local_epochs,local_batchSize,learning_rate,metrics
0,FedAvg,cnn,50,100,0.1,cifar10,True,10,1,10,0.001,"{'train_loss': [0.22409680612087252, 0.2146898100376129, 0.20751320414543156, 0.20325229861736296, 0.19899800233840942, 0.19434984557628632, 0.19070089890956876, 0.18927473208904266, 0.18660880863666535, 0.18751574795246123, 0.18247152125835417, 0.17954178464412687, 0.17961599676609036, 0.17347190539836885, 0.17983748676776884, 0.17189532117843628, 0.17453821473121642, 0.17156881556510928, 0.17378148486614226, 0.17083807400465012, 0.17058663544654845, 0.17063281967639926, 0.16909611364603044, 0.16564570912122728, 0.16664982205629347, 0.16607899712324142, 0.16435087879896165, 0.16585744909048084, 0.16442358347177505, 0.16449243358373644, 0.16281113678216932, 0.16215690364837648, 0.16508353642225265, 0.1611703701019287, 0.16069649575948713, 0.16234585491418838, 0.16232939153909684, 0.160553974878788, 0.15822598336935045, 0.16012228001356124, 0.15941378453969954, 0.15825030468702317, 0.158700463283062, 0.1615022118926048, 0.15762723275423052, 0.1584285729765892, 0.1581968080163002, 0.15716811800003053, 0.1583341195821762, 0.15833232380151746], 'test_loss': [0.02294250123500824, 0.02070857720375061, 0.019821538078784944, 0.019234121370315552, 0.01850937170982361, 0.018100108015537263, 0.01775504320859909, 0.017517318975925445, 0.017263206481933593, 0.01695254831314087, 0.016630114936828613, 0.016295188570022583, 0.01622068074941635, 0.015843748307228088, 0.01596420661211014, 0.015466836285591125, 0.015486335444450378, 0.015391433119773864, 0.01524327552318573, 0.015010810160636903, 0.01506088126897812, 0.014932635354995727, 0.014795799052715301, 0.014515588736534118, 0.014514754009246827, 0.014550376844406129, 0.014398621368408204, 0.014459619164466858, 0.014431648457050323, 0.014347017800807953, 0.014264972376823426, 0.014117960453033446, 0.014083598113059998, 0.014053883957862855, 0.013925728034973144, 0.014054104387760162, 0.01398426159620285, 0.013953260982036591, 0.01398195060491562, 0.013904525232315064, 0.013857931447029114, 0.013718991053104401, 0.013792822861671447, 0.013777508926391601, 0.013706709349155426, 0.013618388462066651, 0.013647645461559296, 0.01353791491985321, 0.013491808915138244, 0.013676119339466095], 'test_acc': [0.1538, 0.2321, 0.274, 0.3153, 0.3296, 0.3407, 0.3592, 0.3703, 0.3779, 0.3948, 0.3937, 0.4063, 0.407, 0.4168, 0.4303, 0.4318, 0.4381, 0.4481, 0.4463, 0.4583, 0.4588, 0.4629, 0.4717, 0.4783, 0.4732, 0.4789, 0.4866, 0.4941, 0.4794, 0.4805, 0.4923, 0.4882, 0.4932, 0.4971, 0.5034, 0.496, 0.4973, 0.5013, 0.5002, 0.504, 0.498, 0.5095, 0.4994, 0.5117, 0.5125, 0.516, 0.5146, 0.5234, 0.5183, 0.5103]}"
0,FedAvg,cnn,50,100,0.1,cifar10,True,10,1,50,0.001,"{'train_loss': [0.04496374013423919, 0.04263758754730225, 0.04140479462146759, 0.03987506380081177, 0.03892065389156341, 0.03832030806541443, 0.03791603517532348, 0.037306276702880864, 0.036430386137962345, 0.03575529999732971, 0.03569714541435242, 0.035360350584983824, 0.03497854454517364, 0.03398962798118592, 0.034615573644638055, 0.03441395053863526, 0.034056786370277405, 0.03400081760883331, 0.03339479875564575, 0.033444061207771304, 0.0329556880235672, 0.03276448156833649, 0.03215882091522217, 0.031851362681388856, 0.03230283176898956, 0.03171463527679443, 0.0316058577299118, 0.032273004508018496, 0.03154800083637238, 0.03173524098396301, 0.03178427536487579, 0.030864072322845458, 0.03050486478805542, 0.03051166563034058, 0.030803323554992677, 0.030508124876022336, 0.030689361834526065, 0.030595476484298705, 0.029533827567100518, 0.03057437288761139, 0.02949572672843933, 0.029474350237846374, 0.029499606108665467, 0.029651627326011665, 0.029088963150978087, 0.02867250399589539, 0.029244277191162106, 0.028950735163688658, 0.029041034626960754, 0.028436142694950105], 'test_loss': [0.021867823410034178, 0.02016271971464157, 0.01988984340429306, 0.01870355602502823, 0.01843625433444977, 0.017824033057689665, 0.01743926103115082, 0.017137943601608276, 0.01677695165872574, 0.01642019028663635, 0.016165969955921174, 0.01600511167049408, 0.015894308400154114, 0.015619468522071838, 0.015484282433986665, 0.015625201630592347, 0.015230950832366943, 0.01514126000404358, 0.014981640076637269, 0.014859947764873505, 0.014574922382831574, 0.014663619482517242, 0.014474591279029846, 0.014281142318248749, 0.014390592014789582, 0.013950655925273895, 0.013938129842281342, 0.014102776086330414, 0.013910380291938782, 0.01389585337638855, 0.013811000084877014, 0.013502438127994537, 0.013451699078083038, 0.013402621471881867, 0.0133643430352211, 0.013356816101074219, 0.013331399548053742, 0.013243189549446106, 0.012905477738380432, 0.01321056022644043, 0.013057586216926575, 0.012846666419506074, 0.012841050815582275, 0.01265028805732727, 0.012678588485717773, 0.012554110765457153, 0.012644416546821594, 0.012634113824367523, 0.012734036302566528, 0.012280781161785126], 'test_acc': [0.2101, 0.2659, 0.3068, 0.3487, 0.3592, 0.3716, 0.3803, 0.3998, 0.3984, 0.4107, 0.4295, 0.4335, 0.4352, 0.4325, 0.4431, 0.4383, 0.4538, 0.4566, 0.4713, 0.4697, 0.4748, 0.4793, 0.4752, 0.4899, 0.4906, 0.505, 0.5042, 0.4985, 0.503, 0.5019, 0.5147, 0.518, 0.5262, 0.5233, 0.5306, 0.526, 0.5305, 0.5327, 0.5425, 0.5327, 0.5377, 0.545, 0.5401, 0.5602, 0.5561, 0.5564, 0.5562, 0.5615, 0.5573, 0.5677]}"
0,FedAvg,cnn,50,100,0.1,cifar10,True,10,1,all,0.001,"{'train_loss': [0.004608986854553222, 0.004482634258270264, 0.0043355346202850345, 0.0044784608364105225, 0.004277279090881348, 0.004438398313522339, 0.004592448949813842, 0.004386698007583618, 0.004511710071563721, 0.004366957092285156, 0.004463927125930786, 0.0042903688907623295, 0.004394285058975219, 0.004310862207412719, 0.004362512826919555, 0.004277689743041992, 0.004316880178451538, 0.004274248552322387, 0.004297518682479858, 0.004275871324539185, 0.0042141157150268555, 0.004220173788070678, 0.004147627019882203, 0.004150871562957764, 0.004055038356781006, 0.004139374113082885, 0.003993150854110719, 0.004165804147720336, 0.004181951284408569, 0.004170096111297606, 0.004130754280090332, 0.0042313288688659665, 0.0041047628402709965, 0.004164466714859009, 0.004040702462196351, 0.00416094651222229, 0.004143398475646974, 0.004051950812339783, 0.00407460527420044, 0.004057493042945863, 0.004131255435943603, 0.004039096593856812, 0.004045349264144897, 0.004039345145225524, 0.004044000458717346, 0.004010588455200195, 0.0040129489660263055, 0.004028573155403137, 0.0040328873634338375, 0.004003486418724061], 'test_loss': [0.022371846699714662, 0.021544719052314757, 0.021997092986106873, 0.021376715230941774, 0.021814955019950868, 0.022887180018424987, 0.021451291966438295, 0.02247676465511322, 0.021248492455482482, 0.022197136068344118, 0.021029758787155153, 0.021789142143726348, 0.020939371263980867, 0.021570850944519042, 0.02070566712617874, 0.021329695677757263, 0.020598710227012634, 0.021196837282180785, 0.02076321461200714, 0.020892519891262055, 0.020689667284488678, 0.02040148912668228, 0.020443550705909728, 0.019972366213798522, 0.02019454152584076, 0.01966600615978241, 0.02026210411787033, 0.02018113445043564, 0.020697373235225677, 0.019902973651885987, 0.020750683081150054, 0.0196499143242836, 0.020449414932727814, 0.019374114322662353, 0.02037814748287201, 0.019859081530570984, 0.019826651346683502, 0.01972515071630478, 0.019836987149715424, 0.019605115938186646, 0.019824860179424284, 0.019371277725696565, 0.01973130693435669, 0.019259560143947602, 0.019655680572986604, 0.019170592927932738, 0.01953464002609253, 0.01903394824266434, 0.019384676098823547, 0.018890459656715392], 'test_acc': [0.1875, 0.201, 0.1984, 0.216, 0.2111, 0.1545, 0.2438, 0.1874, 0.2555, 0.1929, 0.2672, 0.2174, 0.258, 0.221, 0.2828, 0.2268, 0.2809, 0.2363, 0.273, 0.2375, 0.2666, 0.2345, 0.2752, 0.2696, 0.2593, 0.2851, 0.2668, 0.2758, 0.2877, 0.3024, 0.3002, 0.3134, 0.3096, 0.3279, 0.2938, 0.3132, 0.3075, 0.3073, 0.3099, 0.3254, 0.3081, 0.3302, 0.3123, 0.3409, 0.3155, 0.3371, 0.3229, 0.3409, 0.3286, 0.3473]}"
0,FedAvg,cnn,50,100,0.1,cifar10,True,10,5,10,0.001,"{'train_loss': [0.20215213822364805, 0.1856470123744011, 0.17097855859518052, 0.16035182954311372, 0.15872078179359436, 0.15176175482273102, 0.14660457399368285, 0.14391774455785752, 0.14076635541200638, 0.1369849739420414, 0.13566084485054017, 0.13458432292461397, 0.13171876059532167, 0.13011593624949455, 0.13074767886042596, 0.12792513882756235, 0.12512337757706643, 0.12553557311058045, 0.12142267429709433, 0.12178287734389304, 0.1232236502623558, 0.1233851021850109, 0.12160136030077932, 0.11867435446739197, 0.11780559655666352, 0.11710468835115433, 0.11884074951946737, 0.11717496937572955, 0.11479190423488617, 0.11413280481159689, 0.11231010499119758, 0.11483004361093045, 0.1156486528277397, 0.11312603731274604, 0.11164628861367701, 0.11379800847947596, 0.11428499439895153, 0.11425378254294397, 0.11234399938821793, 0.11284427208080887, 0.1117325468856096, 0.11096635862171651, 0.11123868629872799, 0.11301064626932145, 0.10926198100239037, 0.11337735855281353, 0.11396985561728479, 0.1102356620913744, 0.11214271104931832, 0.1112021113204956], 'test_loss': [0.022169617557525636, 0.017383800220489503, 0.015731417107582094, 0.015042023515701294, 0.01458678593635559, 0.01414741541147232, 0.013811675465106964, 0.013649162006378173, 0.013467175006866455, 0.013284084951877594, 0.013055692517757416, 0.01287157634496689, 0.012715083360671998, 0.01248239871263504, 0.012462740349769592, 0.012358333158493042, 0.012101243245601655, 0.012177047574520112, 0.012140487170219422, 0.012184798049926757, 0.011912119543552398, 0.0118560089468956, 0.011843035733699799, 0.011826280719041824, 0.011555639123916626, 0.011535828268527984, 0.011481968069076538, 0.011303946429491044, 0.011308193123340606, 0.011278532528877259, 0.011291156387329101, 0.011233610987663269, 0.01118890386223793, 0.011103487467765807, 0.011177861005067825, 0.011158051925897599, 0.011271478205919266, 0.010974217796325684, 0.011098480731248856, 0.011066319066286088, 0.010839724546670914, 0.01087184122800827, 0.010917115008831024, 0.010949540871381759, 0.010795037257671357, 0.010789631462097169, 0.010833721989393235, 0.010867644375562667, 0.010700389420986176, 0.010611554616689682], 'test_acc': [0.2485, 0.3828, 0.423, 0.4438, 0.465, 0.4943, 0.5046, 0.5099, 0.5145, 0.5229, 0.5341, 0.5442, 0.5476, 0.5565, 0.5595, 0.5639, 0.5698, 0.5735, 0.5762, 0.5771, 0.5865, 0.5881, 0.5908, 0.5895, 0.5956, 0.6011, 0.6033, 0.6088, 0.6102, 0.6079, 0.6092, 0.6099, 0.6074, 0.6117, 0.6107, 0.6143, 0.6093, 0.6184, 0.6156, 0.6184, 0.6279, 0.6256, 0.6259, 0.6228, 0.6267, 0.6243, 0.6246, 0.6247, 0.6302, 0.6356]}"
0,FedAvg,cnn,50,100,0.1,cifar10,True,10,5,50,0.001,"{'train_loss': [0.04054060320854187, 0.03554650386810303, 0.03246385241031647, 0.03055675539493561, 0.029862165398597717, 0.028287634649276732, 0.027461511335372925, 0.026489053926467897, 0.025744231786727904, 0.025059130816459656, 0.02435681267261505, 0.02378993529319763, 0.023751513202190398, 0.023250803480148317, 0.022969666490554812, 0.022124454855918883, 0.021734781041145325, 0.021213710727691647, 0.02124183162689209, 0.020495189766883852, 0.02023998625278473, 0.02010870500802994, 0.01960801847219467, 0.019276890478134155, 0.019135125281810758, 0.019025703461170197, 0.018517202912569045, 0.018454966821670533, 0.01829405431866646, 0.018000411481857298, 0.017587426563501356, 0.01730355653166771, 0.017631661075353623, 0.017595447710752492, 0.016947872427701953, 0.017055572378635406, 0.0171477960395813, 0.016927752867937088, 0.016299005011320113, 0.01564355365276337, 0.015818622105121614, 0.01575957687616348, 0.015533634848594666, 0.015998582397699357, 0.015596354707479476, 0.01572266619086266, 0.015134946385622022, 0.015319235519170759, 0.015117080816030503, 0.015115881853103637], 'test_loss': [0.020871126437187196, 0.016359522163867952, 0.015311059999465942, 0.014721199953556061, 0.013910456228256226, 0.013500831627845765, 0.013309599792957306, 0.012820705866813659, 0.012437662732601166, 0.01205874466896057, 0.011793787902593613, 0.011632300424575805, 0.011413510197401047, 0.011173456704616547, 0.011118632185459137, 0.010909974306821823, 0.010839773964881897, 0.010569071698188782, 0.010547078281641007, 0.010411020451784134, 0.010157869064807892, 0.01015778610110283, 0.010033956384658814, 0.01006448838710785, 0.009771951442956924, 0.009633147960901261, 0.009769371861219405, 0.009471256816387176, 0.009499012911319733, 0.009368295443058014, 0.00938172574043274, 0.009261793786287307, 0.009250009334087372, 0.009123902046680451, 0.009019974160194398, 0.009100420147180557, 0.008861942934989929, 0.008952519410848618, 0.00882195097208023, 0.00886746227145195, 0.008771825975179672, 0.008750554889440536, 0.008605445259809495, 0.008655395728349686, 0.008556797260046005, 0.0086065876185894, 0.008467370957136153, 0.00848353846669197, 0.008451063823699952, 0.00838360517024994], 'test_acc': [0.2827, 0.3957, 0.4393, 0.4605, 0.4902, 0.5101, 0.5179, 0.5398, 0.5552, 0.5689, 0.5801, 0.5841, 0.5912, 0.6009, 0.6019, 0.6113, 0.6146, 0.6273, 0.6251, 0.6361, 0.647, 0.6468, 0.6489, 0.649, 0.663, 0.6692, 0.6652, 0.6751, 0.6734, 0.6751, 0.6803, 0.6835, 0.6851, 0.6898, 0.6898, 0.6914, 0.6973, 0.697, 0.6984, 0.7, 0.7004, 0.7046, 0.7089, 0.7097, 0.7089, 0.7111, 0.7166, 0.715, 0.7144, 0.7166]}"
0,FedAvg,cnn,50,100,0.1,cifar10,True,10,5,all,0.001,"{'train_loss': [0.004325180130004882, 0.00419196780204773, 0.004078222007751465, 0.004103746843338012, 0.0037975162792205815, 0.0037859900140762327, 0.0037071624851226803, 0.003751920166015625, 0.0035099650287628175, 0.0035199375963211057, 0.003605891547203064, 0.0033526227617263794, 0.0034305914068222037, 0.0033118666982650757, 0.0033907803153991702, 0.0031881550216674806, 0.003201239285469055, 0.0031839207506179816, 0.0031471555471420283, 0.0032224582290649407, 0.0030050168800354006, 0.0030235285139083865, 0.0031612285280227664, 0.0030291811084747315, 0.0029508133554458616, 0.002977832260131836, 0.0029538390445709227, 0.0028958902311325076, 0.0028290746307373044, 0.0028063802289962766, 0.0029342274141311644, 0.0028044089412689213, 0.0028227663469314575, 0.00269912383556366, 0.002727577452659607, 0.0027101539707183844, 0.002693821687698364, 0.0026163893604278566, 0.0026786589765548704, 0.002639071869850159, 0.002717409749031067, 0.002616339635848999, 0.0027036877775192267, 0.0025841946125030523, 0.0025192678022384644, 0.0024975060319900517, 0.002518928251266479, 0.0025898645639419555, 0.0025343661260604855, 0.002598471245765686], 'test_loss': [0.02013816397190094, 0.02001821399927139, 0.01950699988603592, 0.01975706489086151, 0.01771140718460083, 0.017908772695064544, 0.0173392205119133, 0.01746243849992752, 0.016402352261543275, 0.016309305584430694, 0.016920501887798308, 0.015861924922466276, 0.015765660667419433, 0.01574639172554016, 0.01564252427816391, 0.015004992699623108, 0.015042908203601837, 0.014599274206161498, 0.014740478110313416, 0.014779714870452881, 0.01412852417230606, 0.014661374747753144, 0.014295740520954132, 0.014214167618751525, 0.01398017499446869, 0.013598375952243806, 0.013996410143375397, 0.013582448053359985, 0.01341300139427185, 0.013274021685123443, 0.013503107440471649, 0.01285391833782196, 0.01292566740512848, 0.012721290278434754, 0.012582412469387055, 0.012526182425022125, 0.012425467610359191, 0.012356543970108031, 0.012245460093021392, 0.012425954854488374, 0.012641108238697052, 0.012466763997077942, 0.012013522899150848, 0.011910417425632477, 0.011761430245637894, 0.011702361971139908, 0.01156959312558174, 0.01179183303117752, 0.011514979189634324, 0.011782739686965943], 'test_acc': [0.2879, 0.3032, 0.3072, 0.3013, 0.3643, 0.3604, 0.3707, 0.3848, 0.4235, 0.42, 0.3879, 0.4317, 0.4494, 0.4442, 0.4479, 0.4677, 0.4717, 0.4833, 0.4789, 0.4724, 0.4907, 0.4741, 0.4979, 0.5038, 0.5139, 0.5233, 0.5092, 0.5217, 0.5236, 0.5359, 0.5301, 0.5461, 0.5498, 0.5522, 0.5548, 0.5579, 0.5669, 0.5666, 0.5724, 0.5619, 0.5443, 0.5571, 0.5734, 0.5763, 0.5808, 0.5824, 0.5898, 0.5867, 0.5908, 0.5911]}"
0,FedAvg,cnn,50,100,0.1,cifar10,True,10,20,10,0.001,"{'train_loss': [0.16529468563884497, 0.14482765999555586, 0.12059199027091265, 0.10457924656964838, 0.09204848366208374, 0.08644028677869589, 0.08227277283265255, 0.07895137852363289, 0.07334379425008782, 0.07397158307767474, 0.0714264482893981, 0.07124449516483583, 0.0713099970844481, 0.07086499413925224, 0.07143710983399301, 0.06946863871308975, 0.06618230471266431, 0.06779241409695706, 0.06974490853300316, 0.06930905925373548, 0.06701414751412929, 0.06853468422618228, 0.06508048573572654, 0.0662436663475074, 0.06696510307339952, 0.07083951125761495, 0.07097440562270582, 0.06873792273728643, 0.06711575088464655, 0.06865310583759562, 0.06940906536025927, 0.06943002630969045, 0.06803363596820156, 0.06739406359017361, 0.06587265044252855, 0.06871058817491867, 0.06863833057339304, 0.06920697979733348, 0.06787249896092803, 0.06542929085773416, 0.0698045953354612, 0.07155685765611008, 0.06935666213809978, 0.06720500688348663, 0.06604724427053706, 0.06760226860154421, 0.06718220114144496, 0.06527685701430776, 0.06909545884906314, 0.06525694121364504], 'test_loss': [0.021853218913078308, 0.01567786867618561, 0.014045483469963073, 0.013431970512866974, 0.012973994451761246, 0.012503370499610901, 0.012329128032922744, 0.01205849717259407, 0.012160842853784562, 0.012082508659362792, 0.012195814645290374, 0.011885245281457901, 0.011834022295475007, 0.011715740954875946, 0.011602099961042405, 0.0117069378554821, 0.01166031152009964, 0.011735050737857819, 0.011511863803863525, 0.011482297086715698, 0.01148274366259575, 0.011653456163406371, 0.01166377695798874, 0.011769971817731857, 0.011518811100721359, 0.011147096836566926, 0.011247583770751954, 0.011057527154684067, 0.011308029067516327, 0.011184948027133941, 0.011244882023334504, 0.01105173618197441, 0.01094432886838913, 0.011135331118106842, 0.01117675992846489, 0.01073856115937233, 0.011050034886598586, 0.010954225462675094, 0.011025665366649628, 0.01094001202583313, 0.011217774415016174, 0.010792346090078354, 0.010663164496421814, 0.011055504059791565, 0.010623733580112458, 0.011092997628450394, 0.010992554664611817, 0.011104737550020219, 0.01069273715019226, 0.011018604582548141], 'test_acc': [0.2111, 0.4227, 0.4955, 0.5218, 0.5486, 0.5707, 0.579, 0.5846, 0.5908, 0.5888, 0.59, 0.6037, 0.5966, 0.6086, 0.6175, 0.612, 0.6138, 0.6173, 0.6207, 0.6267, 0.6335, 0.6296, 0.634, 0.6351, 0.6362, 0.6425, 0.634, 0.6388, 0.6438, 0.6455, 0.6433, 0.6451, 0.6525, 0.6475, 0.6498, 0.6536, 0.6576, 0.6555, 0.6571, 0.6637, 0.6558, 0.6635, 0.6571, 0.6624, 0.6651, 0.6588, 0.6601, 0.6686, 0.6625, 0.6628]}"
0,FedAvg,cnn,50,100,0.1,cifar10,True,10,20,50,0.001,"{'train_loss': [0.03132957094907761, 0.02393214622855187, 0.018395893018841748, 0.014579397645592688, 0.012484823239818215, 0.011204317124187946, 0.010055678377225995, 0.008978751002699136, 0.009077945322729647, 0.008813031798712909, 0.007736290382649749, 0.00782212214421481, 0.0070935189900174726, 0.006951911165453492, 0.006894040652848782, 0.007059168111812323, 0.0065148474092409005, 0.006807970240879804, 0.0065356904619932165, 0.006547746834047137, 0.006368049023207277, 0.0062536221548542366, 0.006415585879320278, 0.006716129447333514, 0.006365494732474908, 0.005964788210783155, 0.006511540169641376, 0.006072915796237067, 0.005806693650190718, 0.006436710444828494, 0.006517063739085571, 0.006236239381914492, 0.006388415545485913, 0.006441839818712325, 0.006560803827759811, 0.006356797732193954, 0.006448844150826335, 0.006441117016719654, 0.006326086420807987, 0.006575862611057237, 0.006900245467778296, 0.006880223930422219, 0.006688727565854788, 0.0065149105151556435, 0.0070647864609211675, 0.0064930528497230255, 0.006649842931386082, 0.007248117387350648, 0.0069400712896976625, 0.006846168849999085], 'test_loss': [0.018614063441753387, 0.014613335645198821, 0.013529087334871293, 0.013519049191474914, 0.012881205677986144, 0.01259107145667076, 0.012626448649168015, 0.012770216482877732, 0.01201096123456955, 0.012107587885856629, 0.012152397698163986, 0.011917929279804229, 0.011814913094043731, 0.012055637633800506, 0.01184195721745491, 0.012002672278881073, 0.01208187205195427, 0.011888988298177718, 0.011807166117429733, 0.01151609233021736, 0.011656856477260589, 0.011794899713993072, 0.011622037148475647, 0.011843214106559754, 0.011686036652326584, 0.011835678535699844, 0.011314728474617005, 0.011733232128620147, 0.011835207396745682, 0.011514595222473145, 0.011657721489667892, 0.011544689458608627, 0.011516955435276031, 0.011780668741464615, 0.011578132992982864, 0.011543845349550247, 0.011597548615932464, 0.011652647542953492, 0.011827948594093323, 0.011953962117433548, 0.011421166652441025, 0.01137043827176094, 0.011463106083869934, 0.011807415699958801, 0.011579172122478484, 0.011869976109266281, 0.011819116413593293, 0.011654648876190185, 0.011616427278518677, 0.011964850944280625], 'test_acc': [0.3482, 0.4827, 0.5472, 0.5695, 0.5869, 0.6005, 0.6082, 0.6125, 0.6288, 0.6323, 0.6368, 0.6331, 0.6432, 0.6449, 0.6466, 0.6505, 0.6492, 0.6606, 0.6608, 0.6623, 0.6582, 0.6647, 0.6634, 0.6686, 0.6687, 0.6753, 0.6778, 0.6802, 0.6815, 0.6794, 0.6787, 0.681, 0.6768, 0.6738, 0.6826, 0.6809, 0.6771, 0.6841, 0.6817, 0.6847, 0.6846, 0.6877, 0.6872, 0.6854, 0.6911, 0.6823, 0.687, 0.6796, 0.685, 0.6915]}"
0,FedAvg,cnn,50,100,0.1,cifar10,True,10,20,all,0.001,"{'train_loss': [0.003768601996898651, 0.0034567728972434994, 0.0033485664403438567, 0.00302388671040535, 0.002924012392759323, 0.0027157997047901157, 0.002602514736652374, 0.002477430161237717, 0.002457794877290726, 0.0022758139777183536, 0.002236154578328132, 0.002145553198456764, 0.002099922205209732, 0.0019411281317472458, 0.002065584934949875, 0.0019592988777160647, 0.0018744745284318925, 0.0017892184227705002, 0.001809175985455513, 0.001653828712105751, 0.0017158645763993264, 0.0017410466328263284, 0.0016032877439260483, 0.0015214640769362449, 0.0016062319275736807, 0.0014869350153207778, 0.001445967100262642, 0.00143905081063509, 0.0014139229598641397, 0.0013341760963201524, 0.0013648129004240038, 0.001254283522963524, 0.001263712356686592, 0.001303655534386635, 0.0012507006043195725, 0.0012218768885731697, 0.001146951387822628, 0.001117586486339569, 0.0011815747034549713, 0.0010905750097334385, 0.001087419472783804, 0.0010405219696462153, 0.0010720341393351555, 0.0010050206552445892, 0.0010603494174778465, 0.0010034650850296021, 0.0010073370803892613, 0.001008665893226862, 0.0009138636466860773, 0.0009623817041516305], 'test_loss': [0.017790312778949737, 0.016171862494945528, 0.015747594273090363, 0.014686701202392578, 0.014251835131645203, 0.013677475547790528, 0.01314519317150116, 0.01274085555076599, 0.012551128923892974, 0.012254713475704193, 0.012113658607006073, 0.011957027459144592, 0.011506908988952637, 0.011574784624576569, 0.011016717314720153, 0.011075366026163101, 0.010975608313083649, 0.011020531278848647, 0.010714600038528442, 0.010760370290279389, 0.010436640214920044, 0.010291376566886902, 0.010245499593019486, 0.01025690392255783, 0.010040518307685853, 0.009982149052619934, 0.009970525014400482, 0.009812182658910752, 0.009899364042282104, 0.009709527111053468, 0.009678485864400864, 0.009588398683071136, 0.009537693101167678, 0.009431844234466552, 0.009580821812152862, 0.009237080365419387, 0.00934114664196968, 0.009294172292947768, 0.009054530072212219, 0.009240138572454452, 0.009197161662578583, 0.009161175179481507, 0.009102015507221221, 0.009289571481943131, 0.009056308752298355, 0.009074990075826645, 0.00913813101053238, 0.008897801864147186, 0.009101253592967987, 0.008881613159179687], 'test_acc': [0.3533, 0.4037, 0.4257, 0.4745, 0.4901, 0.5107, 0.5326, 0.5479, 0.5576, 0.5698, 0.5714, 0.5807, 0.5968, 0.598, 0.6142, 0.6182, 0.6218, 0.6228, 0.631, 0.634, 0.6402, 0.6433, 0.6563, 0.6521, 0.661, 0.6656, 0.6643, 0.6681, 0.6685, 0.6774, 0.6773, 0.6838, 0.6824, 0.6853, 0.6807, 0.6903, 0.6888, 0.6932, 0.7002, 0.6998, 0.6981, 0.6997, 0.7018, 0.7009, 0.7059, 0.7089, 0.706, 0.7144, 0.7117, 0.7166]}"
0,FedAvg,cnn,50,100,0.1,cifar10,False,2,1,10,0.001,"{'train_loss': [0.06705486354448661, 0.08166962617188692, 0.08272662509456277, 0.07237388817295433, 0.05914779608358123, 0.06158793955843089, 0.08030489053428172, 0.06721701200753451, 0.06846290437080897, 0.05703368750433715, 0.069813082036376, 0.06740796125289053, 0.04561644530219299, 0.07220362955778838, 0.06416040351390839, 0.05401981197262279, 0.058504535888214436, 0.07952967760637401, 0.06399868543874473, 0.08753358366265893, 0.05399450169668146, 0.05022900156210275, 0.06617513698786497, 0.06327168554486708, 0.05804810443520547, 0.06070967435874045, 0.056402077519725535, 0.07367204022957012, 0.05108103187184191, 0.04809911302239643, 0.05724864749852567, 0.05550981156555075, 0.059032886363193385, 0.04617776384527852, 0.06480748779537575, 0.04406395158575831, 0.049383915028721095, 0.05477028611173725, 0.05537797422964176, 0.04424644204900851, 0.04792002765526207, 0.051544597852788865, 0.051718405019163284, 0.04316675583900281, 0.06643811116560829, 0.04233642926782156, 0.061201785923138206, 0.05223196307653562, 0.05717677355974212, 0.054516862882673746], 'test_loss': [0.026552171182632447, 0.02409256947040558, 0.02329464292526245, 0.0228568078994751, 0.03217057521343231, 0.03354653162956238, 0.024637137484550476, 0.023623330354690553, 0.024985932993888856, 0.03022303912639618, 0.02662072288990021, 0.02807586667537689, 0.032599630856513975, 0.026370805644989014, 0.02742571687698364, 0.028644566297531128, 0.03705642409324646, 0.02768768458366394, 0.03268134863376618, 0.021212563729286194, 0.0243507621049881, 0.03035712251663208, 0.024791182923316956, 0.022877982211112976, 0.0261019788980484, 0.025489581322669982, 0.037721832633018496, 0.024549220538139342, 0.024544468522071837, 0.024667328739166258, 0.02593094470500946, 0.023446446216106413, 0.02097795581817627, 0.028173349928855895, 0.02667010440826416, 0.02666116440296173, 0.02826973900794983, 0.019122379672527313, 0.019412880170345308, 0.02128054972887039, 0.02249745188951492, 0.023977411007881165, 0.02175077941417694, 0.025476948165893555, 0.02443528175354004, 0.03813759450912475, 0.026817697310447693, 0.02939778265953064, 0.0241123140335083, 0.02496556189060211], 'test_acc': [0.1, 0.1553, 0.1574, 0.1123, 0.1004, 0.1816, 0.1517, 0.1135, 0.1012, 0.1524, 0.1685, 0.1801, 0.1638, 0.1911, 0.2269, 0.1766, 0.1375, 0.1203, 0.1779, 0.2464, 0.1929, 0.1227, 0.2092, 0.16, 0.2254, 0.1839, 0.1014, 0.2425, 0.2194, 0.2194, 0.2045, 0.2212, 0.2277, 0.1896, 0.1053, 0.1783, 0.2119, 0.2667, 0.2604, 0.2896, 0.2451, 0.2137, 0.24, 0.2901, 0.1731, 0.1337, 0.1998, 0.1781, 0.242, 0.2425]}"
